anyo,consejeria,medio,tipo,importe
2017,Presidencia,Diario16,Medios Digitales,21634.8
2014,Economía y Hacienda,Diario de Burgos,Prensa,72401.28
2017,Presidencia,DiarioDigitalLeón,Medios Digitales,3250
2014,Economía y Hacienda,Diario de León,Prensa,67179.97
2017,Presidencia,EFE,Agencia,141999.55
2014,Economía y Hacienda,Diario Palentino,Prensa,46585.98
2017,Presidencia,El Correo de Burgos,Prensa,30050
2014,Economía y Hacienda,El Correo de Burgos,Prensa,25057.4
2017,Presidencia,El MiróndeSoria,Medios Digitales,3442.63
2014,Economía y Hacienda,El Norte de Castilla,Prensa,144720.16
2017,Presidencia,El Norte de Castilla,Prensa,127680.58
2014,Economía y Hacienda,Gente,Otros Medios,16940
2017,Presidencia,El País,Prensa,3999.99
2014,Economía y Hacienda,La Razón CyL,Prensa,40259.44
2017,Presidencia,El Periodico - Ediciones Z,Medios Digitales,43393.58
2014,Economía y Hacienda,Onda Cero,Radio,49174.16
2017,Presidencia,EsDiario,Medios Digitales,17968.5
2014,Educación,ABC CyL,Prensa,79999.92
2017,Presidencia,Europa Press,Agencia,147000
2014,Educación,Diario de León,Prensa,30089.02
2017,Presidencia,Gaceta Negocios,Medios Digitales,19892.4
2014,Educación,Diario Soria / El Heraldo,Prensa,26999.99
2017,Presidencia,Gente,Otros Medios,35000
2014,Educación,El Correo de Burgos,Prensa,16000
2017,Presidencia,ICAL,Agencia,203999.99
2014,Educación,El País,Prensa,770
2017,Presidencia,Interbenavente,Medios Digitales,5989.5
2014,Educación,Europa Press,Agencia,26000
2017,Presidencia,LaVozdeMedina,Medios Digitales,4377.86
2014,Educación,Kiosco y Más,Otros Medios,229.99
2017,Presidencia,SER,Radio,56002.2
2014,Educación,La Opinión Correo Zamora,Prensa,9376.8
2017,Sanidad,COPE,Radio,6000
2014,Educación,La Razón CyL,Prensa,25000
2017,Sanidad,Diario de Ávila,Prensa,29999.99
2014,Empleo,ABC CyL,Prensa,10856.5
2017,Sanidad,El Adelantado de Segovia,Prensa,5000
2014,Empleo,Castilla y León ES Radio,Radio,11807
2017,Sanidad,El Mundo de CyL,Prensa,40000
2014,Empleo,El Correo de Burgos,Prensa,10633.34
2017,Sanidad,La Gaceta de Salamanca,Prensa,13999.98
2014,Empleo,El Día de Valladolid,Prensa,13041.95
2017,Sanidad,La Nueva Crónica de León,Prensa,6999.79
2014,Empleo,El Economista,Otros Medios,9438
2017,Sanidad,Onda Cero,Radio,8000
2014,Empleo,Félix Fernández Alonso (Quiosco),Otros Medios,741.8
2018,Agricultura y Ganadería,Asoprovac,Medios Digitales,17908
2014,Empleo,Gente,Otros Medios,5311.9
2018,Agricultura y Ganadería,Campo AGR021,Otros Medios,24999.16
2014,Empleo,La Gaceta de Salamanca,Prensa,19739.99
2018,Agricultura y Ganadería,CM Vocento,Prensa,18000
2014,Empleo,La Nueva Crónica de León,Prensa,3663.88
2018,Agricultura y Ganadería,Diario de Burgos,Prensa,62499.97
2014,Empleo,Orbit,Otros Medios,2104.64
2018,Agricultura y Ganadería,Diario de León,Prensa,51999.98
2014,Empleo,Silvia Álvarez Cilleros,Otros Medios,20246.15
2018,Agricultura y Ganadería,Diario Palentino,Prensa,62499.97
2014,Empleo,Turismo,Otros Medios,4999.87
2018,Agricultura y Ganadería,El Mundo de CyL,Prensa,136999.99
2014,Familia e Igualdad de Oportunidades,Castilla y León ES Radio,Radio,10000
2018,Agricultura y Ganadería,ElPeriodistaDigital,Medios Digitales,3000
2014,Familia e Igualdad de Oportunidades,Diario de Ávila,Prensa,22495
2018,Agricultura y Ganadería,Empresa Agraria Digital,Medios Digitales,2999.99
2014,Familia e Igualdad de Oportunidades,Diario de Burgos,Prensa,29634.21
2018,Agricultura y Ganadería,Foro Agroganadero Sinapsis,Medios Digitales,2964.5
2014,Familia e Igualdad de Oportunidades,EFE,Agencia,30999.99
2018,Agricultura y Ganadería,Gente,Otros Medios,31999.98
2014,Familia e Igualdad de Oportunidades,El Adelantado de Segovia,Prensa,9319.98
2018,Agricultura y Ganadería,La Opinión Correo Zamora,Prensa,11000
2014,Familia e Igualdad de Oportunidades,El Correo de Burgos,Prensa,15000
2018,Agricultura y Ganadería,Radio Aguilar - Badiola,Otros Medios,3000
2014,Familia e Igualdad de Oportunidades,El Norte de Castilla,Prensa,101891.66
2018,Agricultura y Ganadería,Radio Intereconomía,Otros Medios,6500
2014,Familia e Igualdad de Oportunidades,El País,Prensa,4954.45
2018,Agricultura y Ganadería,Revista Agropecuaria,Otros Medios,5000
2014,Familia e Igualdad de Oportunidades,La Gaceta de Salamanca,Prensa,26719.6
2018,Agricultura y Ganadería,Shine Ibérica,Otros Medios,36129.21
2014,Familia e Igualdad de Oportunidades,La Razón CyL,Prensa,51402.54
2018,Agricultura y Ganadería,Turismo,Otros Medios,1500
2014,Familia e Igualdad de Oportunidades,SPC,Otros Medios,19000
2018,Cultura y Turismo,20 Minutos,Medios Digitales,7925.5
2014,Fomento y Medio Ambiente,ABC CyL,Prensa,34944.96
2018,Cultura y Turismo,ARSMagazine,Otros Medios,605
2014,Fomento y Medio Ambiente,Diario Palentino,Prensa,4260
2018,Cultura y Turismo,CL Comunicación,Agencia,19349.99
2014,Fomento y Medio Ambiente,El Día de Valladolid,Prensa,20000
2018,Cultura y Turismo,DGratis,Otros Medios,2105
2014,Fomento y Medio Ambiente,La Opinión Correo Zamora,Prensa,5000
2018,Cultura y Turismo,Diario de Ávila,Prensa,115076.31
2014,Fomento y Medio Ambiente,La Razón CyL,Prensa,14999.99
2018,Cultura y Turismo,Diario Palentino,Prensa,101652.95
2014,Presidencia,ABC CyL,Prensa,55328.92
2018,Cultura y Turismo,El Correo de Burgos,Prensa,85000
2014,Presidencia,ARGI,Otros Medios,45738
2018,Cultura y Turismo,Exit Express,Otros Medios,2800
2014,Presidencia,Canal54,Medios Digitales,25388.22
2018,Cultura y Turismo,Expreso.es,Otros Medios,2903.43
2014,Presidencia,Castilla y León ES Radio,Radio,15000
2018,Cultura y Turismo,Hoy es Arte,Otros Medios,3500
2014,Presidencia,COPE,Radio,17550
2018,Cultura y Turismo,Inout Viajes,Otros Medios,1936
2014,Presidencia,DesdeSoria,Medios Digitales,4160
2018,Cultura y Turismo,Lo mejor de las Autonomías,Otros Medios,2420
2014,Presidencia,Diario de la Ribera,Otros Medios,1500
2018,Cultura y Turismo,Lola la Mota,Otros Medios,3815
2014,Presidencia,Diario de León,Prensa,73999.96
2018,Cultura y Turismo,National Geographic,Otros Medios,29038.79
2014,Presidencia,El Confidencial,Medios Digitales,14520
2018,Cultura y Turismo,Promecal Digitales,Medios Digitales,213855.85
2014,Presidencia,El Correo de Burgos,Prensa,24504.74
2018,Cultura y Turismo,Revista ArchiLetras,Otros Medios,7260
2014,Presidencia,El Día de Valladolid,Prensa,16184.8
2018,Cultura y Turismo,Revista Artez,Otros Medios,1210
2014,Presidencia,El Faro Astorgano,Otros Medios,1028.5
2018,Cultura y Turismo,Revista Aticus Edición Digital,Otros Medios,363
2014,Presidencia,El Heraldo de Soria,Prensa,28870.6
2018,Cultura y Turismo,Revista Oficial Estaciones de Esquí,Otros Medios,363
2014,Presidencia,El Mundo de CyL,Prensa,68157.98
2018,Cultura y Turismo,Revista Teatros,Otros Medios,605
2014,Presidencia,Europa Press,Agencia,147000
2018,Cultura y Turismo,Ritmo,Otros Medios,1203.95
2014,Presidencia,Gaceta Negocios,Medios Digitales,21902.08
2018,Cultura y Turismo,Scherzo,Otros Medios,2238.5
2014,Presidencia,La Bureba,Otros Medios,544.5
2018,Cultura y Turismo,Turismo,Otros Medios,70000
2014,Presidencia,La Nueva Crónica de León,Prensa,7999.67
2018,Cultura y Turismo,Vocento Destino,Prensa,4840
2014,Presidencia,La Opinión Correo Zamora,Prensa,20612.04
2018,Cultura y Turismo,Zirkolica,Otros Medios,816.75
2014,Presidencia,La Razón CyL,Prensa,66860.84
2018,Economía y Hacienda,ABC,Prensa,51425.51
2014,Presidencia,Onda Cero,Radio,10000
2018,Economía y Hacienda,Adelantado de Segovia,Prensa,28308.84
2014,Presidencia,Segovia Audaz,Medios Digitales,500.94
2018,Economía y Hacienda,CL Comunicación,Agencia,19349.99
2014,Presidencia,Tribuna Universitaria,Otros Medios,3600
2018,Economía y Hacienda,COPE,Radio,30381.81
2014,Presidencia,Zamora24horas,Medios Digitales,6446.05
2018,Economía y Hacienda,EFE,Agencia,30999.99
2014,Sanidad,COPE,Radio,12000
2018,Economía y Hacienda,El Correo de Burgos,Prensa,13770.97
2014,Sanidad,Diario de Burgos,Prensa,15000
2018,Economía y Hacienda,El Mundo de CyL,Prensa,132219.3575
2014,Sanidad,EFE,Agencia,30999.99
2018,Economía y Hacienda,ICAL,Agencia,142000
2014,Sanidad,El Correo de Burgos,Prensa,15000
2018,Economía y Hacienda,La Nueva Crónica de León,Prensa,26588.43
2014,Sanidad,El Mundo de CyL,Prensa,38000
2018,Economía y Hacienda,Opinión de Zamora,Prensa,18125.93
2014,Sanidad,El Norte de Castilla,Prensa,54999.96
2018,Economía y Hacienda,SER,Radio,49676.2
2014,Sanidad,Europa Press,Agencia,26000
2018,Educación,ABC CyL,Prensa,126999.83
2014,Sanidad,ICAL,Agencia,140000
2018,Educación,Castilla y León ES Radio,Radio,10000
2014,Sanidad,La Nueva Crónica de León,Prensa,4994.88
2018,Educación,Diario de Ávila,Prensa,70278.65
2014,Sanidad,La Razón CyL,Prensa,19999.95
2018,Educación,Diario de León,Prensa,45000.01
2015,Agricultura y Ganadería,Asoprovac,Medios Digitales,21779.99
2018,Educación,El Adelantado de Segovia,Prensa,20344.85
2015,Agricultura y Ganadería,Diario de Burgos,Prensa,49749.85
2018,Educación,El País,Prensa,32770
2015,Agricultura y Ganadería,EFE,Agencia,38259.99
2018,Educación,Expansión,Otros Medios,2494.55
2015,Agricultura y Ganadería,El Correo de Burgos,Prensa,21999.57
2018,Educación,La Nueva Crónica de León,Prensa,7000
2015,Agricultura y Ganadería,El Mundo de CyL,Prensa,84999.43
2018,Empleo,Antonio Carrasco López (Quiosco),Otros Medios,1855.8
2015,Agricultura y Ganadería,ICAL,Agencia,140000
2018,Empleo,CL Comunicación,Agencia,19350.01
2015,Agricultura y Ganadería,La Nueva Crónica de León,Prensa,9999
2018,Empleo,Diario de León,Prensa,39014.91
2015,Agricultura y Ganadería,La Opinión Correo Zamora,Prensa,9999.05
2018,Empleo,Diario Palentino,Prensa,32387.4
2015,Agricultura y Ganadería,Onda Cero,Radio,86299.97
2018,Empleo,Diario Soria / El Heraldo,Prensa,23902.4
2015,Agricultura y Ganadería,Promecal Digitales,Medios Digitales,40999.9932
2018,Empleo,El Adelantado de Segovia,Prensa,23531.33
2015,Agricultura y Ganadería,Turismo,Otros Medios,5420
2018,Empleo,El Norte de Castilla,Prensa,63008.75
2015,Cultura y Turismo,Arte Informado,Otros Medios,850
2018,Empleo,Entorno de Publicidad SLU,Otros Medios,15548.49
2015,Cultura y Turismo,ArteContexto,Otros Medios,800
2018,Empleo,Europa Press,Agencia,26000
2015,Cultura y Turismo,Canal54,Medios Digitales,1159.18
2018,Empleo,La Opinión Correo Zamora,Prensa,13649.75
2015,Cultura y Turismo,EFE,Agencia,31000
2018,Empleo,Onda Cero,Radio,28212.96
2015,Cultura y Turismo,El Adelantado de Segovia,Prensa,15200
2018,Empleo,Orbit,Otros Medios,1269.94
2015,Cultura y Turismo,Gestiona Radio,Radio,2500
2018,Empleo,Sector Ejecutivo,Otros Medios,2301.7
2015,Cultura y Turismo,HostelTur,Otros Medios,2904
2018,Familia e Igualdad de Oportunidades,ABC CyL,Prensa,39864.75
2015,Cultura y Turismo,La Nueva Crónica de León,Prensa,10170.5
2018,Familia e Igualdad de Oportunidades,Bayard Revistas,Otros Medios,4999.98
2015,Cultura y Turismo,La Opinión Correo Zamora,Prensa,12414.74
2018,Familia e Igualdad de Oportunidades,Castilla y León ES Radio,Radio,19999.99
2015,Cultura y Turismo,Más de Arte,Otros Medios,1815
2018,Familia e Igualdad de Oportunidades,EFE,Agencia,31000
2015,Cultura y Turismo,Onda Cero,Radio,91834
2018,Familia e Igualdad de Oportunidades,El Correo de Burgos,Prensa,14999.99
2015,Cultura y Turismo,Puerta de Embarque,Otros Medios,8000
